parcelle,id,disposition,date,nature,codecommune,departement,type,surface,piece,prix,latitude,longitude,surface_calc
35176000ZW0017,2024-192584,1,2024-01-04,Vente,35176,35,Maison,75,4,133460,47.8259670,-1.7682010,75
35223000XK0166,2024-192585,1,2024-01-03,Vente,35223,35,Maison,64,4,148000,47.9566440,-2.1073500,64
35001000AH0392,2024-192587,1,2024-01-03,Vente,35001,35,Maison,154,5,485000,48.1351540,-1.5267150,154
35095000AT0388,2024-192589,1,2024-01-02,Vente,35095,35,Maison,130,6,275000,48.5418310,-1.7394090,130
35040000AD0199,2024-192590,1,2024-01-04,Vente,35040,35,Maison,83,4,221000,48.1438170,-1.9076430,83
35238000AT1159,2024-192591,1,2024-01-03,Vente,35238,35,Appartement,71,3,310000,48.1281860,-1.6769860,71
350290000C1502,2024-192592,1,2024-01-02,Vente,35029,35,Maison,70,4,159000,48.4643890,-1.7698650,70
35256000AC0102,2024-192593,1,2024-01-05,Vente,35256,35,Maison,33,2,395000,48.6261120,-2.1293090,33
35238000CE0245,2024-192594,1,2024-01-05,Vente,35238,35,Appartement,63,3,230000,48.0988410,-1.6570900,63
35120000AL0329,2024-192595,1,2024-01-08,Vente,35120,35,Maison,104,4,367000,48.2197310,-1.7957910,104
35106000ZB0019,2024-192596,1,2024-01-04,Vente,35106,35,Maison,79,3,120000,47.8312110,-1.5038620,79
35238000BP0450,2024-192599,1,2024-01-08,Vente,35238,35,Appartement,50,3,220000,48.1091040,-1.6694330,50
352830000A0760,2024-192602,1,2024-01-03,Vente,35283,35,Maison,147,6,310000,48.1319000,-1.3643410,147
351790000C1336,2024-192604,1,2024-01-03,Vente,35179,35,Maison,125,4,370000,48.5304110,-1.9165190,125
35239000AB0188,2024-192605,1,2024-01-03,Vente,35239,35,Maison,67,4,128168,47.9149580,-1.3880680,67
35238000DI0206,2024-192607,1,2024-01-05,Vente,35238,35,Appartement,61,3,255000,48.1084370,-1.6831410,61
35006000AX0348,2024-192608,1,2024-01-03,Vente,35006,35,Maison,135,6,295000,48.0558160,-1.1341310,135
35125000AZ0215,2024-192609,1,2024-01-02,Vente,35125,35,Maison,72,4,120000,47.9398550,-1.2357950,72
35184000AC0465,2024-192610,1,2024-01-03,Vente,35184,35,Maison,90,4,305000,48.2002000,-2.0413100,90
35297000ZP0074,2024-192611,1,2024-01-04,Vente,35297,35,Maison,60,3,75500,48.1815210,-2.1991780,60
35238000DO0236,2024-192612,1,2024-01-08,Vente,35238,35,Appartement,40,2,212250,48.1014980,-1.6992010,40
35358000AB0307,2024-192613,1,2024-01-05,Vente,35358,35,Maison,97,5,288000,48.5497130,-1.9533600,97
350600000B1100,2024-192616,1,2024-01-04,Vente,35060,35,Maison,102,5,167000,48.2120110,-1.9904970,102
351430000B1268,2024-192617,1,2024-01-03,Vente,35143,35,Maison,81,4,190000,48.2526280,-2.0011830,81
35176129AD0048,2024-192618,1,2024-01-08,Vente,35176,35,Maison,79,3,250000,47.8272280,-1.8433650,79
35176129AD0049,2024-192618,1,2024-01-08,Vente,35176,35,Maison,47,1,250000,47.8272120,-1.8435250,47
35219000ZR0031,2024-192619,1,2024-01-08,Vente,35219,35,Maison,40,2,85000,47.8243960,-1.8979420,40
35238000CE0184,2024-192620,1,2024-01-09,Vente,35238,35,Appartement,77,4,165000,48.1001330,-1.6524250,77
35238000ET0017,2024-192621,1,2024-01-05,Vente,35238,35,Appartement,77,4,155000,48.1210520,-1.7071860,77
35335000ZS0042,2024-192622,1,2024-01-03,Vente,35335,35,Maison,77,2,91350,47.8524650,-1.4855760,77
35238000CT0043,2024-192623,1,2024-01-03,Vente,35238,35,Appartement,68,4,170000,48.0909620,-1.6685150,68
35115000AL0056,2024-192624,1,2024-01-05,Vente,35115,35,Maison,62,3,152500,48.3449580,-1.1861660,62
35132000ZN0082,2024-192626,1,2024-01-05,Vente,35132,35,Maison,87,3,90000,48.5846140,-1.7857910,87
35051000AW0135,2024-192627,1,2024-01-11,Vente,35051,35,Maison,83,4,322000,48.1134210,-1.6269890,83
35227000ZB0451,2024-192629,1,2024-01-04,Vente,35227,35,Appartement,66,3,140000,48.1829670,-1.9261910,66
35142000AB0242,2024-192632,1,2024-01-05,Vente,35142,35,Maison,79,4,151500,48.4106930,-1.1563810,79
35045000ZS0190,2024-192633,1,2024-01-11,Vente,35045,35,Maison,69,4,75000,47.8145030,-1.9946870,69
35238000EW0046,2024-192635,1,2024-01-05,Vente,35238,35,Appartement,65,3,150000,48.1237860,-1.7044480,65
35152000AZ0466,2024-192636,1,2024-01-03,Vente,35152,35,Maison,79,4,208000,48.2162560,-1.4951750,79
351320000F0180,2024-192638,1,2024-01-03,Vente,35132,35,Maison,65,3,180000,48.6074010,-1.8070980,65
35257000ZL0092,2024-192641,1,2024-01-04,Vente,35257,35,Maison,105,5,290000,48.3942020,-1.3761080,105
350850000I0492,2024-192643,1,2024-01-08,Vente,35085,35,Maison,150,5,180500,48.3931580,-1.7344140,150
35238000BN0915,2024-192644,1,2024-01-03,Vente,35238,35,Appartement,42,2,120000,48.1110300,-1.6601730,42
35238000BC0335,2024-192645,1,2024-01-08,Vente,35238,35,Appartement,17,1,72500,48.1226440,-1.6670530,17
35238000HX0356,2024-192647,1,2024-01-09,Vente,35238,35,Maison,100,6,405000,48.1325540,-1.6712620,100
35090000AB0328,2024-192648,1,2024-01-11,Vente,35090,35,Maison,74,4,3e+05,47.9373780,-1.6604330,74
35059000AM0116,2024-192649,1,2024-01-10,Vente,35059,35,Appartement,63,3,197000,48.1723020,-1.7368220,63
35257267AC0164,2024-192651,1,2024-01-05,Vente,35257,35,Maison,115,6,175000,48.4029200,-1.3245360,115
35086000ZB0247,2024-192652,1,2024-01-11,Vente,35086,35,Maison,136,5,175000,48.2702010,-1.2474600,136
35051000ZY0194,2024-192653,1,2024-01-11,Vente,35051,35,Maison,78,4,420000,48.1319450,-1.5976090,78
35059000AD0343,2024-192654,1,2024-01-12,Vente,35059,35,Maison,89,4,298000,48.1807400,-1.7242870,89
35238000BP0454,2024-192655,1,2024-01-12,Vente,35238,35,Appartement,27,1,85000,48.1088120,-1.6702790,27
35115000AI0719,2024-192657,1,2024-01-10,Vente,35115,35,Appartement,93,3,105500,48.3535530,-1.1977060,93
35068000AH0021,2024-192660,1,2024-01-05,Vente,35068,35,Appartement,62,3,108500,48.1092340,-1.4052990,62
35210000AE0075,2024-192662,1,2024-01-15,Vente,35210,35,Maison,110,6,315000,48.1522480,-1.7890710,110
352050000C0027,2024-192663,1,2024-01-10,Vente,35205,35,Maison,165,5,128000,48.4138650,-1.6253710,165
352880000J1087,2024-192664,1,2024-01-10,Vente,35288,35,Maison,214,5,922500,48.6646540,-1.9776560,214
351720000A0096,2024-192665,1,2024-01-11,Vente,35172,35,Maison,30,2,112500,48.4658420,-1.7901650,30
35066000AR0524,2024-192666,1,2024-01-12,Vente,35066,35,Appartement,49,2,175000,48.0346300,-1.7097000,49
35238000KT0239,2024-192667,1,2024-01-09,Vente,35238,35,Appartement,23,1,66050,48.0958490,-1.6406570,23
350270000C0116,2024-192669,1,2024-01-15,Vente,35027,35,Maison,95,4,220000,48.1573170,-2.0781680,95
35257000ZL0096,2024-192670,1,2024-01-09,Vente,35257,35,Maison,76,4,162500,48.4022860,-1.3717380,76
351070000B1633,2024-192671,1,2024-01-12,Vente,35107,35,Maison,118,5,294200,48.2499130,-1.5144960,118
351170000D0002,2024-192672,1,2024-01-15,Vente,35117,35,Maison,98,4,147500,48.1104000,-2.2143290,98
35281000AV0576,2024-192673,1,2024-01-09,Vente,35281,35,Appartement,47,2,120000,48.0767730,-1.7163480,47
35220000YI0076,2024-192674,2,2024-01-03,Vente,35220,35,Maison,77,3,220000,48.0216190,-1.4309920,77
35353000AP0619,2024-192676,1,2024-01-02,Vente,35353,35,Appartement,64,3,185455,48.1188440,-1.7497570,64
35238000DV0184,2024-192677,1,2024-01-02,Vente,35238,35,Appartement,80,4,280000,48.1019800,-1.7117050,80
35063000YH0057,2024-192680,1,2024-01-02,Vente,35063,35,Maison,88,5,165000,48.3117260,-1.3062870,88
35238000DE0622,2024-192682,1,2024-01-12,Vente,35238,35,Appartement,96,4,430000,48.1009120,-1.6862750,96
35106000ZR0088,2024-192683,1,2024-01-12,Vente,35106,35,Maison,83,4,168000,47.8301700,-1.5546370,83
35012000YE0159,2024-192684,1,2024-01-15,Vente,35012,35,Maison,83,2,3e+05,47.8437830,-1.7382800,83
35288000AC0088,2024-192685,1,2024-01-05,Vente,35288,35,Maison,45,2,388500,48.6506280,-2.0239560,45
35115000AD0285,2024-192686,1,2024-01-12,Vente,35115,35,Appartement,77,4,175000,48.3553970,-1.2016110,77
35069000AC0420,2024-192687,2,2024-01-10,Vente,35069,35,Maison,80,4,255000,48.0471020,-1.5005230,80
35238000HW0269,2024-192688,1,2024-01-10,Vente,35238,35,Appartement,78,4,255800,48.1290180,-1.6768970,78
35054000ZL0107,2024-192692,1,2024-01-12,Vente,35054,35,Maison,54,2,130000,47.9599320,-1.6137770,54
35124000AC0425,2024-192693,1,2024-01-12,Vente,35124,35,Maison,117,6,220000,47.7228640,-1.7304410,117
35275000AD0155,2024-192695,1,2024-01-05,Vente,35275,35,Maison,78,4,254000,48.1524770,-1.8236440,78
35139000AB0439,2024-192696,1,2024-01-12,Vente,35139,35,Maison,90,4,259300,47.9792460,-1.7166040,90
351350000B1069,2024-192697,1,2024-01-09,Vente,35135,35,Maison,39,1,115000,48.2588840,-1.9344740,39
35047000CL0448,2024-192699,1,2024-01-04,Vente,35047,35,Maison,92,5,485000,48.0339610,-1.7683360,92
35236000AM0154,2024-192701,1,2024-01-05,Vente,35236,35,Appartement,100,4,105000,47.6500130,-2.0851530,100
352360000H1722,2024-192703,1,2024-01-03,Vente,35236,35,Maison,132,5,3e+05,47.6652410,-2.0658430,132
351350000B1074,2024-192704,1,2024-01-09,Vente,35135,35,Maison,30,1,70000,48.2588820,-1.9341630,30
35308000ZD0025,2024-192705,1,2024-01-08,Vente,35308,35,Maison,104,5,450000,48.4632300,-1.9169520,104
35238000IM0089,2024-192706,1,2024-01-15,Vente,35238,35,Appartement,89,4,273000,48.1338220,-1.6537860,89
35228000ZC0335,2024-192707,1,2024-01-04,Vente,35228,35,Appartement,134,5,410000,48.5822420,-2.0630600,134
35256000AC0183,2024-192708,1,2024-01-09,Vente,35256,35,Appartement,37,2,1050000,48.6287850,-2.1293010,37
35287000AY0367,2024-192710,1,2024-01-09,Vente,35287,35,Maison,127,5,400500,48.6307580,-2.1149710,127
35238000CT0270,2024-192711,1,2024-01-16,Vente,35238,35,Appartement,65,4,187000,48.0933430,-1.6649440,65
35238000AP0336,2024-192712,1,2024-01-05,Vente,35238,35,Maison,110,6,385000,48.1244930,-1.6846870,110
35088000AB0204,2024-192714,1,2024-01-04,Vente,35088,35,Maison,80,4,230000,47.9764500,-1.5904750,80
35238000MO0145,2024-192715,1,2024-01-11,Vente,35238,35,Appartement,42,2,160000,48.1319290,-1.6970970,42
35328000ZT0066,2024-192716,1,2024-01-05,Vente,35328,35,Maison,100,5,82000,47.7560240,-2.0086140,100
35238000CZ0092,2024-192720,1,2024-01-05,Vente,35238,35,Appartement,22,1,355000,48.0977820,-1.6868870,22
35238000BI0200,2024-192721,1,2024-01-11,Vente,35238,35,Appartement,144,5,680000,48.1191550,-1.6611540,144
35196000YA0250,2024-192722,1,2024-01-04,Vente,35196,35,Appartement,65,3,182000,48.0748610,-1.8561020,65
35037000BP0267,2024-192723,1,2024-01-05,Vente,35037,35,Appartement,41,2,130000,48.0460690,-1.8675800,41
